variable,mean_dropout_loss,sd_dropout_loss
carat,2254.6320882876466,92.65888000742964
y,2244.3851009884347,100.83261253929648
clarity,1101.576804046313,75.21471115116388
color,736.7099037232448,65.12942298995003
z,559.2349403822213,42.90030764961619
x,129.16521317924838,28.631077303751702
cut,21.4656991507458,30.849957612660972
depth,11.690379700941989,32.04454716296958
table,0.25260937771818065,30.773199482188087
