variable,permutation,dropout_loss,label
color,43,706.5793643641956,LightGBM
clarity,43,1262.1491432123971,LightGBM
depth,43,50.72901160087201,LightGBM
table,43,17.72862297978986,LightGBM
x,43,173.35503575024518,LightGBM
y,43,2252.7905491456,LightGBM
z,43,557.2591507974608,LightGBM
_baseline_,43,5301.029905226907,LightGBM
_full_model_,44,46.40368778994116,LightGBM
carat,44,2313.7415793168843,LightGBM
cut,44,61.043925409041094,LightGBM
color,44,771.5064893005439,LightGBM
clarity,44,1168.1640040745579,LightGBM
depth,44,58.967681078733904,LightGBM
table,44,43.52964975121131,LightGBM
x,44,150.90250610559974,LightGBM
y,44,2163.0535863962077,LightGBM
z,44,546.587515219507,LightGBM
_baseline_,44,4966.368272757765,LightGBM
_full_model_,45,11.00905702961063,LightGBM
carat,45,2317.5512265190955,LightGBM
cut,45,23.98777850109593,LightGBM
color,45,807.5072453704739,LightGBM
clarity,45,1010.6629009746242,LightGBM
depth,45,7.825173204104658,LightGBM
table,45,9.266795844579406,LightGBM
x,45,153.95781476759714,LightGBM
y,45,2383.0398324523126,LightGBM
z,45,575.3306763538795,LightGBM
_baseline_,45,5240.549085619966,LightGBM
_full_model_,46,26.20355181730156,LightGBM
carat,46,2299.378829878673,LightGBM
cut,46,49.26502469422201,LightGBM
color,46,652.3189863303386,LightGBM
clarity,46,1141.476562546628,LightGBM
depth,46,39.89265154653344,LightGBM
table,46,23.42029955505859,LightGBM
x,46,157.0266828989761,LightGBM
y,46,2383.0580398170578,LightGBM
z,46,547.8008891662279,LightGBM
_baseline_,46,5085.673702031585,LightGBM
_full_model_,47,14.863875382619995,LightGBM
carat,47,2321.7140017182874,LightGBM
cut,47,29.64930597413081,LightGBM
color,47,655.7126383254332,LightGBM
clarity,47,1135.1296058480361,LightGBM
depth,47,41.497623701278144,LightGBM
table,47,15.17428067438641,LightGBM
x,47,138.74747859743593,LightGBM
y,47,2299.481636582564,LightGBM
z,47,635.1821712363973,LightGBM
_baseline_,47,5023.753327157909,LightGBM
_full_model_,48,-23.618856108752652,LightGBM
carat,48,2183.836831918361,LightGBM
cut,48,10.82352274263701,LightGBM
color,48,638.2444678242138,LightGBM
clarity,48,1162.8886331143258,LightGBM
depth,48,4.473683528963193,LightGBM
table,48,-22.357512351515652,LightGBM
x,48,110.98070793979787,LightGBM
y,48,2064.2484771535137,LightGBM
z,48,519.4561090019791,LightGBM
_baseline_,48,4954.132644497306,LightGBM
_full_model_,49,-60.94580677366105,LightGBM
carat,49,2101.685521412058,LightGBM
cut,49,-36.408518582879765,LightGBM
color,49,676.0785826966115,LightGBM
clarity,49,1045.9029421124865,LightGBM
depth,49,-35.58184269460753,LightGBM
table,49,-57.659471006117656,LightGBM
x,49,81.9339518654424,LightGBM
y,49,2010.2966538319279,LightGBM
z,49,490.38659881046135,LightGBM
_baseline_,49,4770.333327181011,LightGBM
_full_model_,50,-82.44092980539051,LightGBM
carat,50,2174.9392005503214,LightGBM
cut,50,-49.32470137989162,LightGBM
color,50,715.8591603667879,LightGBM
clarity,50,1008.4815681973763,LightGBM
depth,50,-41.32926532785348,LightGBM
table,50,-79.65132730801884,LightGBM
x,50,66.76102546525954,LightGBM
y,50,2097.88958344724,LightGBM
z,50,478.26519749477563,LightGBM
_baseline_,50,4804.040986404684,LightGBM
_full_model_,51,-42.57713629804232,LightGBM
carat,51,2261.7606130933104,LightGBM
cut,51,-32.46522074724305,LightGBM
color,51,570.1373154035222,LightGBM
clarity,51,1035.5964119010478,LightGBM
depth,51,-26.249677118412592,LightGBM
table,51,-39.2063850020362,LightGBM
x,51,81.38716837129323,LightGBM
y,51,2222.1031214872555,LightGBM
z,51,541.3934929078531,LightGBM
_baseline_,51,5169.992429330863,LightGBM
_full_model_,52,-4.654798713367768,LightGBM
carat,52,2272.102681916665,LightGBM
cut,52,21.929920528085972,LightGBM
color,52,756.787682780768,LightGBM
clarity,52,1153.2344087790507,LightGBM
depth,52,-2.786072201998195,LightGBM
table,52,2.3229291261985736,LightGBM
x,52,116.03282960179706,LightGBM
y,52,2296.5570588818855,LightGBM
z,52,571.8191886713711,LightGBM
_baseline_,52,5035.775713264984,LightGBM
_full_model_,53,-6.449506301466499,LightGBM
carat,53,2375.709796137131,LightGBM
cut,53,17.005308091440952,LightGBM
color,53,660.166845206728,LightGBM
clarity,53,1022.160482250043,LightGBM
depth,53,5.498631403059676,LightGBM
table,53,-1.2231340836561913,LightGBM
x,53,139.6740990795529,LightGBM
y,53,2388.361762337719,LightGBM
z,53,618.9029163354891,LightGBM
_baseline_,53,5151.885490850561,LightGBM
_full_model_,54,-12.08633859658903,LightGBM
carat,54,2202.538172157717,LightGBM
cut,54,5.405943336133532,LightGBM
color,54,633.3480702076032,LightGBM
clarity,54,1171.0972737076681,LightGBM
depth,54,11.330690325060004,LightGBM
table,54,-16.050089012991293,LightGBM
x,54,138.34436216418203,LightGBM
y,54,2159.809658906271,LightGBM
z,54,545.2449617509939,LightGBM
_baseline_,54,5029.754934404015,LightGBM
_full_model_,55,0.37062588414096354,LightGBM
carat,55,2270.310712375625,LightGBM
cut,55,21.213903100298808,LightGBM
color,55,711.5082592546074,LightGBM
clarity,55,1108.8419060585775,LightGBM
depth,55,-19.342153344528924,LightGBM
table,55,-0.3211551494047171,LightGBM
x,55,115.6339494817297,LightGBM
y,55,2198.746842164626,LightGBM
z,55,554.7131368275906,LightGBM
_baseline_,55,4890.242386221986,LightGBM
_full_model_,56,-52.53215160572154,LightGBM
carat,56,2243.6530408793706,LightGBM
cut,56,-25.23717913541816,LightGBM
color,56,666.0024532690621,LightGBM
clarity,56,1139.4262945787104,LightGBM
depth,56,-56.067909608491846,LightGBM
table,56,-55.94737412918778,LightGBM
x,56,76.40013781793641,LightGBM
y,56,2114.0657230138822,LightGBM
z,56,545.6130739130712,LightGBM
_baseline_,56,4758.79845680684,LightGBM
_full_model_,57,11.756670767863511,LightGBM
carat,57,2367.378092899292,LightGBM
cut,57,37.636299548856186,LightGBM
color,57,785.3352694137958,LightGBM
clarity,57,1132.7516563841064,LightGBM
depth,57,13.210746203171311,LightGBM
table,57,13.087223682799504,LightGBM
x,57,147.2792851088028,LightGBM
y,57,2486.030701707442,LightGBM
z,57,557.2219533433521,LightGBM
_baseline_,57,5371.158840471299,LightGBM
_full_model_,58,-0.047104359374088745,LightGBM
carat,58,2221.6948059345305,LightGBM
cut,58,18.338205466975296,LightGBM
color,58,641.8942939321493,LightGBM
clarity,58,1160.65577453801,LightGBM
depth,58,-4.599679196004104,LightGBM
table,58,12.946065810287678,LightGBM
x,58,107.73804497646086,LightGBM
y,58,2294.415268641029,LightGBM
z,58,511.2624116482672,LightGBM
_baseline_,58,5293.857543894121,LightGBM
_full_model_,59,-41.81859826591665,LightGBM
carat,59,2399.027064555718,LightGBM
cut,59,-24.474280388990564,LightGBM
color,59,687.319643877475,LightGBM
clarity,59,1095.6845182816487,LightGBM
depth,59,-28.357037852730514,LightGBM
table,59,-38.1975182291759,LightGBM
x,59,104.33689472359765,LightGBM
y,59,2362.17525385591,LightGBM
z,59,583.5620909473829,LightGBM
_baseline_,59,5374.31444040172,LightGBM
_full_model_,60,45.36317482103175,LightGBM
carat,60,2212.614038629969,LightGBM
cut,60,61.924977933020045,LightGBM
color,60,743.1934421205864,LightGBM
clarity,60,1231.0005771380293,LightGBM
depth,60,62.86219026022218,LightGBM
table,60,39.46607315394556,LightGBM
x,60,156.8690092608001,LightGBM
y,60,2156.359056926717,LightGBM
z,60,518.5887544152639,LightGBM
_baseline_,60,5136.88899931415,LightGBM
_full_model_,61,-17.792799491248047,LightGBM
carat,61,2212.902052701619,LightGBM
cut,61,3.007178371690884,LightGBM
color,61,709.667207076077,LightGBM
clarity,61,1056.2613655351352,LightGBM
depth,61,-4.543923267242235,LightGBM
table,61,-20.652673992934297,LightGBM
x,61,122.88409064480265,LightGBM
y,61,2180.9061099003866,LightGBM
z,61,570.0885056149804,LightGBM
_baseline_,61,4784.082691680633,LightGBM
_full_model_,62,48.33346008006549,LightGBM
carat,62,2371.969217028292,LightGBM
cut,62,72.33740765507798,LightGBM
color,62,662.6231716070882,LightGBM
clarity,62,1111.705267809718,LightGBM
depth,62,52.28725904578209,LightGBM
table,62,55.909256635118595,LightGBM
x,62,184.10367007242633,LightGBM
y,62,2447.493608908412,LightGBM
z,62,654.1341783489912,LightGBM
_baseline_,62,5213.903123744764,LightGBM
_full_model_,63,-2.443588111787676,LightGBM
carat,63,2102.702158851925,LightGBM
cut,63,22.858810407852275,LightGBM
color,63,731.0840852679465,LightGBM
clarity,63,1085.5430779946005,LightGBM
depth,63,22.039210165667214,LightGBM
table,63,1.9213957938368367,LightGBM
x,63,116.35743426749343,LightGBM
y,63,2052.191664585199,LightGBM
z,63,509.20650520555535,LightGBM
_baseline_,63,4777.327130383252,LightGBM
_full_model_,64,-12.893312408834618,LightGBM
carat,64,2164.0287707564917,LightGBM
cut,64,7.296433401657055,LightGBM
color,64,804.3035688102133,LightGBM
clarity,64,1240.1508117946464,LightGBM
depth,64,12.647821010630537,LightGBM
table,64,-11.947795533337853,LightGBM
x,64,105.80929811697251,LightGBM
y,64,2226.3432445411495,LightGBM
z,64,540.8461122693124,LightGBM
