Metric,Value
Sensitivity,0.6323529411764706
Specificity,0.963302752293578
Pos Pred Value,0.9148936170212767
Neg Pred Value,0.8076923076923076
Precision,0.9148936170212766
Recall,0.6323529411764706
F1,0.7478260869565218
Prevalence,0.384180790960452
Detection Rate,0.24293785310734464
Detection Prevalence,0.2655367231638418
Balanced Accuracy,0.7978278467350243
